  150099 -0.5199118E-15 -0.5239770E-15  0.4065203E-17
  150119 -0.5198955E-15 -0.5239501E-15  0.4054573E-17
  150139 -0.5198756E-15 -0.5239433E-15  0.4067656E-17
  150159 -0.5199314E-15 -0.5239761E-15  0.4044721E-17
  150179 -0.5199191E-15 -0.5239946E-15  0.4075449E-17
  150199 -0.5198785E-15 -0.5239923E-15  0.4113803E-17
  150219 -0.5199160E-15 -0.5240236E-15  0.4107599E-17
  150239 -0.5198953E-15 -0.5240232E-15  0.4127895E-17
  150259 -0.5199120E-15 -0.5239625E-15  0.4050424E-17
  150279 -0.5198594E-15 -0.5239225E-15  0.4063133E-17
  150299 -0.5198821E-15 -0.5238984E-15  0.4016293E-17
  150319 -0.5198961E-15 -0.5239300E-15  0.4033894E-17
  150339 -0.5199132E-15 -0.5239715E-15  0.4058316E-17
  150359 -0.5199124E-15 -0.5239872E-15  0.4074794E-17
  150379 -0.5199204E-15 -0.5239882E-15  0.4067767E-17
  150399 -0.5199180E-15 -0.5239256E-15  0.4007635E-17
  150419 -0.5198945E-15 -0.5238346E-15  0.3940126E-17
  150439 -0.5199228E-15 -0.5238702E-15  0.3947411E-17
  150459 -0.5199551E-15 -0.5239646E-15  0.4009512E-17
  150479 -0.5199468E-15 -0.5239162E-15  0.3969389E-17
  150499 -0.5199356E-15 -0.5238576E-15  0.3922006E-17
  150519 -0.5199474E-15 -0.5238573E-15  0.3909911E-17
  150539 -0.5199872E-15 -0.5238856E-15  0.3898423E-17
  150559 -0.5199354E-15 -0.5238806E-15  0.3945253E-17
  150579 -0.5199026E-15 -0.5238745E-15  0.3971898E-17
  150599 -0.5199158E-15 -0.5239385E-15  0.4022709E-17
  150619 -0.5198724E-15 -0.5239825E-15  0.4110071E-17
  150639 -0.5199077E-15 -0.5239382E-15  0.4030433E-17
  150659 -0.5199117E-15 -0.5238967E-15  0.3985013E-17
  150679 -0.5198935E-15 -0.5239090E-15  0.4015426E-17
  150699 -0.5198774E-15 -0.5239052E-15  0.4027809E-17
  150719 -0.5198645E-15 -0.5239296E-15  0.4065140E-17
  150739 -0.5199168E-15 -0.5239275E-15  0.4010749E-17
  150759 -0.5199783E-15 -0.5240013E-15  0.4022952E-17
  150779 -0.5199670E-15 -0.5239924E-15  0.4025462E-17
  150799 -0.5199616E-15 -0.5239315E-15  0.3969880E-17
  150819 -0.5199757E-15 -0.5239634E-15  0.3987757E-17
  150839 -0.5199576E-15 -0.5240509E-15  0.4093297E-17
