     1  0.1753624D-02  0.2019473D-02 -0.2478137D-02
     2  0.1066491D-02 -0.1304465D-02 -0.3380647D-02
     3 -0.1764093D-02  0.2632412D-02  0.8105092D-03
     4 -0.1794476D-03  0.1424810D-02 -0.3459461D-02
     5 -0.2465584D-02 -0.2883024D-03  0.1982129D-02
     6  0.2074234D-02  0.8929468D-03  0.2199109D-02
     7 -0.1051300D-02 -0.9904743D-03 -0.3489426D-02
     8  0.1879360D-02 -0.2906086D-02 -0.6791254D-04
     9  0.1463917D-06 -0.6022643D-04  0.3055042D-02
    10  0.1861297D-02 -0.8174971D-03 -0.3152736D-02
    11 -0.1821775D-02  0.2856054D-03 -0.3246182D-02
    12 -0.3232728D-02  0.6516522D-03  0.4745986D-03
    13  0.5881413D-03  0.2752776D-02  0.1516767D-02
    14  0.3138312D-02 -0.4044264D-04  0.1034040D-02
    15  0.2438642D-02  0.6164888D-03  0.1955975D-02
    16  0.6921189D-04  0.3001076D-02  0.1190666D-02
    17  0.3129338D-03 -0.2922981D-02  0.1469081D-02
    18 -0.2198985D-05  0.2073227D-03  0.3045510D-02
    19 -0.2666803D-02  0.6823950D-04 -0.2503695D-02
    20  0.3272639D-02 -0.1076034D-02 -0.6202231D-03
    21 -0.2103280D-02 -0.1587696D-02  0.1840326D-02
    22 -0.1307348D-03  0.1127693D-02 -0.3586928D-02
    23  0.2999458D-02 -0.1694886D-02 -0.3552948D-04
    24 -0.4119591D-03 -0.1365472D-02 -0.3506240D-02
    25 -0.1843877D-02 -0.2721585D-02 -0.1442276D-02
    26  0.8333709D-03  0.3218583D-02 -0.1001878D-02
    27  0.5477824D-03  0.1265188D-02  0.2747910D-02
    28 -0.1283548D-02 -0.1536846D-02  0.2429219D-02
    29 -0.9538995D-03  0.5782032D-03  0.2855541D-02
    30 -0.2892003D-03  0.9023886D-03  0.2906668D-02
    31  0.1144896D-02  0.2134156D-02 -0.2758729D-02
    32 -0.5014354D-03 -0.8161246D-03  0.2928045D-02
    33 -0.8998625D-03  0.3140817D-02 -0.1230795D-02
    34 -0.1986430D-02  0.2127355D-02 -0.2106579D-02
    35 -0.1863113D-02  0.1882582D-02  0.1748177D-02
    36  0.1220031D-02 -0.3052896D-02  0.7498635D-03
    37 -0.6622077D-04  0.2249222D-02  0.2169568D-02
    38  0.2970248D-02 -0.4348535D-03 -0.2059331D-02
    39 -0.1467968D-03  0.1482514D-03  0.3045706D-02
    40 -0.1618059D-02  0.4185770D-03 -0.3348661D-02
    41 -0.5018665D-03 -0.2061457D-02  0.2353060D-02
    42  0.2497905D-02 -0.2084262D-02  0.8212955D-03
    43  0.3149821D-02  0.9342308D-03  0.5971943D-03
    44  0.8185396D-04 -0.3087486D-02 -0.1952791D-02
    45 -0.2310907D-02 -0.2110965D-02 -0.1815733D-02
    46  0.1071058D-03  0.1546085D-02  0.2660150D-02
    47  0.2049839D-04  0.1821112D-03 -0.3790479D-02
    48 -0.1466887D-02 -0.1450189D-02 -0.3125812D-02
    49  0.2148554D-02 -0.2647238D-02  0.2822865D-03
    50 -0.8921705D-04  0.4880633D-03 -0.3754460D-02
    51 -0.3254055D-03  0.1045625D-03  0.3034890D-02
    52 -0.8049867D-03 -0.3161540D-02 -0.1546255D-02
    53 -0.1002106D-02 -0.2951874D-02  0.1138392D-02
    54  0.3162922D-02  0.1398376D-04  0.9765789D-03
    55 -0.7231764D-03  0.3290069D-02 -0.1360353D-03
    56 -0.3378357D-02 -0.4893541D-03 -0.1602953D-03
    57 -0.3100478D-02  0.1003990D-02  0.5978246D-03
    58 -0.1089488D-02 -0.1734150D-03  0.2870398D-02
    59  0.2002549D-02 -0.2462914D-02 -0.1769395D-02
    60  0.1222709D-03  0.3261828D-02  0.5079832D-03
    61  0.1145992D-02  0.2588997D-02  0.1500286D-02
    62 -0.3189489D-02 -0.6205089D-04 -0.1589970D-02
    63  0.3139994D-02 -0.1043443D-02  0.6157716D-03
    64 -0.4855755D-03  0.2433175D-03  0.3006031D-02
     1  0.1499144D-02  0.1765105D-02 -0.2732617D-02
     2  0.6832643D-03 -0.1303340D-02 -0.3763874D-02
     3 -0.2147064D-02  0.2632289D-02  0.4275379D-03
     4 -0.5643794D-03  0.1414043D-02 -0.3844393D-02
     5 -0.2454137D-02 -0.2753188D-03  0.1468177D-02
     6  0.2086451D-02  0.8931181D-03  0.1688117D-02
     7 -0.1039148D-02 -0.9920761D-03 -0.4000738D-02
     8  0.1889002D-02 -0.2521058D-02 -0.4530878D-03
     9 -0.9495044D-05 -0.4452543D-03  0.2669867D-02
    10  0.1849145D-02 -0.8158953D-03 -0.3664048D-02
    11 -0.1833991D-02  0.2854342D-03 -0.3757174D-02
    12 -0.3244174D-02  0.6386687D-03 -0.3935328D-04
    13  0.9730731D-03  0.2763542D-02  0.1131835D-02
    14  0.3521283D-02 -0.4031897D-04  0.6510684D-03
    15  0.2821868D-02  0.6153639D-03  0.1572748D-02
    16  0.3236916D-03  0.3255444D-02  0.9361860D-03
    17 -0.2010181D-03 -0.2909997D-02  0.1480527D-02
    18 -0.5131907D-03  0.2074939D-03  0.3057727D-02
    19 -0.3178115D-02  0.6663771D-04 -0.2491543D-02
