 10099  0.1477557E+03  0.1057636E+03  0.1119112E+03  0.1023609E+03  0.8845573E+02  0.7902879E+02  0.7646735E+02  0.9276762E+02  0.7481826E+02  0.8261458E+02  0.6972745E+02  0.8265450E+02  0.1252780E+03  0.1060300E+03  0.1104921E+03
 10119  0.1461954E+03  0.1059036E+03  0.1076193E+03  0.1039523E+03  0.8960304E+02  0.7740823E+02  0.7630119E+02  0.8648606E+02  0.8007445E+02  0.8324690E+02  0.6579255E+02  0.8409777E+02  0.1225082E+03  0.1046479E+03  0.1088365E+03
 10139  0.1422669E+03  0.1057706E+03  0.1015551E+03  0.1021727E+03  0.9297230E+02  0.7601422E+02  0.7730301E+02  0.8021561E+02  0.8546901E+02  0.8251661E+02  0.6268325E+02  0.8479324E+02  0.1205321E+03  0.1016922E+03  0.1096364E+03
 10159  0.1363248E+03  0.1039174E+03  0.9554664E+02  0.1010152E+03  0.9601133E+02  0.7498203E+02  0.7989294E+02  0.7518345E+02  0.8973276E+02  0.8007907E+02  0.6260061E+02  0.8581560E+02  0.1188290E+03  0.9827726E+02  0.1128878E+03
 10179  0.1281917E+03  0.1005230E+03  0.8789213E+02  0.1033934E+03  0.9968437E+02  0.7409844E+02  0.8392212E+02  0.7262456E+02  0.9178286E+02  0.7608370E+02  0.6564232E+02  0.8681409E+02  0.1168243E+03  0.9575939E+02  0.1180317E+03
 10199  0.1171847E+03  0.9706267E+02  0.8715929E+02  0.1025388E+03  0.1005578E+03  0.7465744E+02  0.8850549E+02  0.7289840E+02  0.9112087E+02  0.7110097E+02  0.7013587E+02  0.8696197E+02  0.1143638E+03  0.9494425E+02  0.1240161E+03
 10219  0.1038103E+03  0.9568457E+02  0.8768149E+02  0.1027381E+03  0.1035129E+03  0.7334609E+02  0.9246491E+02  0.7530518E+02  0.8826743E+02  0.6603080E+02  0.7410321E+02  0.8623386E+02  0.1121134E+03  0.9595360E+02  0.1294114E+03
 10239  0.9264125E+02  0.9835109E+02  0.8840941E+02  0.1049542E+03  0.1057339E+03  0.7176224E+02  0.9409285E+02  0.7798989E+02  0.8624670E+02  0.6182288E+02  0.7650517E+02  0.8516508E+02  0.1115081E+03  0.9862787E+02  0.1334290E+03
 10259  0.8922233E+02  0.1116433E+03  0.8262651E+02  0.1095457E+03  0.1066247E+03  0.7370342E+02  0.9220072E+02  0.8109594E+02  0.8423401E+02  0.5908427E+02  0.7770972E+02  0.8420335E+02  0.1135638E+03  0.1025511E+03  0.1362926E+03
 10279  0.9217212E+02  0.1207551E+03  0.8336305E+02  0.1151502E+03  0.1054499E+03  0.7146550E+02  0.9408128E+02  0.7468439E+02  0.9391308E+02  0.5806343E+02  0.7873313E+02  0.8340130E+02  0.1124474E+03  0.1124130E+03  0.1382281E+03
 10299  0.9660218E+02  0.1290550E+03  0.8443384E+02  0.1191360E+03  0.1048445E+03  0.6663837E+02  0.9556878E+02  0.7337166E+02  0.9772244E+02  0.5990445E+02  0.7857615E+02  0.8253877E+02  0.1166519E+03  0.1168118E+03  0.1368709E+03
 10319  0.1002411E+03  0.1353431E+03  0.8568174E+02  0.1193035E+03  0.9900959E+02  0.6775348E+02  0.9630461E+02  0.7473687E+02  0.9806709E+02  0.6199646E+02  0.8057330E+02  0.8151394E+02  0.1193205E+03  0.1178687E+03  0.1349783E+03
 10339  0.1030627E+03  0.1401372E+03  0.8642703E+02  0.1151165E+03  0.9173951E+02  0.7235229E+02  0.9022091E+02  0.7971842E+02  0.9670232E+02  0.6479047E+02  0.8288155E+02  0.8399904E+02  0.1176388E+03  0.1173116E+03  0.1295032E+03
 10359  0.1054659E+03  0.1436902E+03  0.8633028E+02  0.1083195E+03  0.8458792E+02  0.7679912E+02  0.8923576E+02  0.8333715E+02  0.8864491E+02  0.6761202E+02  0.8508049E+02  0.8390029E+02  0.1161948E+03  0.1160221E+03  0.1212165E+03
 10379  0.1072604E+03  0.1450587E+03  0.8600696E+02  0.1024610E+03  0.7936603E+02  0.8157140E+02  0.8822099E+02  0.7993693E+02  0.8226054E+02  0.7160878E+02  0.8650315E+02  0.8446049E+02  0.1129926E+03  0.1146390E+03  0.1127624E+03
 10399  0.1077878E+03  0.1432193E+03  0.8658367E+02  0.1003143E+03  0.7697343E+02  0.8591281E+02  0.8453267E+02  0.7790967E+02  0.7782526E+02  0.7422396E+02  0.8615358E+02  0.8549226E+02  0.1080330E+03  0.1151344E+03  0.1053379E+03
 10419  0.1067687E+03  0.1382662E+03  0.8873243E+02  0.1014591E+03  0.7708366E+02  0.8687834E+02  0.8262071E+02  0.7730599E+02  0.7398235E+02  0.7722994E+02  0.8444788E+02  0.8574429E+02  0.1015197E+03  0.1128972E+03  0.1029353E+03
 10439  0.1049752E+03  0.1314201E+03  0.9238491E+02  0.1022836E+03  0.8124157E+02  0.9085521E+02  0.7641093E+02  0.7750719E+02  0.7258574E+02  0.8081272E+02  0.8240938E+02  0.8533130E+02  0.9420551E+02  0.1103162E+03  0.1031287E+03
