 10099  0.9391834-311  0.7638500E+02  0.6957061E+02  0.7779863E+02
 10119  0.9391834-311  0.7644388E+02  0.7004070E+02  0.7675946E+02
 10139  0.9391834-311  0.8190341E+02  0.7155452E+02  0.8856774E+02
 10159  0.9391834-311  0.7570079E+02  0.7566001E+02  0.8709458E+02
 10179  0.9391834-311  0.8203067E+02  0.7386026E+02  0.7135193E+02
 10199  0.9391834-311  0.9383973E+02  0.7374443E+02  0.6857344E+02
 10219  0.9391834-311  0.8958306E+02  0.7380889E+02  0.7535860E+02
 10239  0.9391834-311  0.8969974E+02  0.7231715E+02  0.6704675E+02
 10259  0.9391834-311  0.9409281E+02  0.8087879E+02  0.6124080E+02
 10279  0.9391834-311  0.7751547E+02  0.7875152E+02  0.7038716E+02
 10299  0.9391834-311  0.8007914E+02  0.7523122E+02  0.7559709E+02
 10319  0.9391834-311  0.9191672E+02  0.8374236E+02  0.7395794E+02
 10339  0.9391834-311  0.6713602E+02  0.7928906E+02  0.7458247E+02
 10359  0.9391834-311  0.8234154E+02  0.6864663E+02  0.7573820E+02
 10379  0.9391834-311  0.7550646E+02  0.7125854E+02  0.7592003E+02
 10399  0.9391834-311  0.8022203E+02  0.7747914E+02  0.7858032E+02
 10419  0.9391834-311  0.8568675E+02  0.7883954E+02  0.8653691E+02
 10439  0.9391834-311  0.8001223E+02  0.7161443E+02  0.8948290E+02
 10459  0.9391834-311  0.7334313E+02  0.6627703E+02  0.7698241E+02
 10479  0.9391834-311  0.7690793E+02  0.6747981E+02  0.6950663E+02
 10499  0.9391834-311  0.8949480E+02  0.6928480E+02  0.7738001E+02
 10519  0.9391834-311  0.9052050E+02  0.7442506E+02  0.7816723E+02
 10539  0.9391834-311  0.8830650E+02  0.8176162E+02  0.7147732E+02
 10559  0.9391834-311  0.8252305E+02  0.7867766E+02  0.7718555E+02
 10579  0.9391834-311  0.7754702E+02  0.7563562E+02  0.8029520E+02
 10599  0.9391834-311  0.6858429E+02  0.7635916E+02  0.6869508E+02
 10619  0.9391834-311  0.8208279E+02  0.7173372E+02  0.7331884E+02
 10639  0.9391834-311  0.6819912E+02  0.7297359E+02  0.8488460E+02
 10659  0.9391834-311  0.5982482E+02  0.8002376E+02  0.7417855E+02
 10679  0.9391834-311  0.6301960E+02  0.7283589E+02  0.7331126E+02
 10699  0.9391834-311  0.6984315E+02  0.6168507E+02  0.8389076E+02
 10719  0.9391834-311  0.6924142E+02  0.6839702E+02  0.8186900E+02
 10739  0.9391834-311  0.7427272E+02  0.6849961E+02  0.7705415E+02
 10759  0.9391834-311  0.8659927E+02  0.6592006E+02  0.7598052E+02
 10779  0.9391834-311  0.7945513E+02  0.6530809E+02  0.7306255E+02
 10799  0.9391834-311  0.7352236E+02  0.6391073E+02  0.7381577E+02
 10819  0.9391834-311  0.9349898E+02  0.7193145E+02  0.7633025E+02
 10839  0.9391834-311  0.9201858E+02  0.6899993E+02  0.7403576E+02
